T,gs_stab,ts_stab,U,p_raw,p_holm,sig_holm
4,0.9901331946769371,0.011775720471891356,2570.0,8.777143537595665e-29,0.0,***
8,0.9339976187128869,0.5694834814590645,19618.0,3.448901883595436e-38,0.0,***
16,0.9652167729435677,0.9200926848777726,16823.0,6.542126323878089e-28,0.0,***
32,0.9305032660821146,0.9752348017842414,3030.0,0.4759285075273893,0.475929,ns
