sparsity_label,T,gs_stab_mean,gs_stab_std,gs_comp_mean,ts_stab_mean,ts_stab_std,ts_comp_mean,n,gs_stab_ci_lo,gs_stab_ci_hi,ts_stab_ci_lo,ts_stab_ci_hi
T1-Extreme,1,1.0,0.0,0.0,,,0.0,147,,,,
T4-Sparse,4,0.9901331946769372,0.08652074188919202,-1.1769831180571436e-05,0.011775720471891363,0.23478675841900998,0.0029625631123781204,112,0.953566693674435,1.0,-0.0746064036322073,0.10797929841812187
T8-Short,8,0.9339976187128868,0.12293001394874746,-0.49607790626585485,0.5694834814590645,0.21963856747011246,-0.4555558703839779,122,0.9051445183753787,0.9513240302065153,0.536077583008899,0.5998205654809564
T16-Medium,16,0.9652167729435679,0.10835636820047322,-0.44689108289778234,0.9200926848777725,0.06407717433182442,-0.49219339214265345,111,0.9371638117377237,0.9806851356135269,0.9098865839549273,0.9291108409367657
T32-Rich,32,0.9305032660821146,0.12766884090910666,-0.4653968968453046,0.9752348017842414,0.03621330446732324,-0.4964144334197044,35,0.8763176313441496,0.9642315158681711,0.9689873299084188,0.9798880093322937
