model,n,mean_err,median_err,std_err,max_err,ci95_lo,ci95_hi,pass_5pct,pass_1pct,pass_1e3,anomaly
LSTM,200,1.2286127457628026e-08,6.129994289949536e-10,1.753362072965063e-08,1.1920928955078125e-07,9.851338766791273e-09,1.480815309117566e-08,100.0,100.0,100.0,No
Transformer,200,1.9351733726580277e-08,4.052708391100168e-09,5.346100506944808e-08,4.76837158203125e-07,1.3699773628693652e-08,2.9358487926147023e-08,100.0,100.0,100.0,No
CNN,200,1.4193684592100908e-08,6.30825525149703e-09,1.7614544119507524e-08,8.940696716308595e-08,1.1889203204226451e-08,1.6736748804010746e-08,100.0,100.0,100.0,No
MLPMixer,200,0.948115185922652,0.9481151960790156,4.374310313264487e-08,0.9481153152883052,0.9481151797787138,0.9481151917666759,0.0,0.0,0.0,YES ❗
