threshold_permutations,stability_mean,stability_std,runtime_mean
10,0.7024793388429752,0.5153209014254511,0.03961018839618191
50,0.6408288524780712,0.47109563621542067,0.06433742294320836
100,0.5537190082644629,0.6311366311417118,0.09155746570322662
200,0.7024793388429752,0.5153209014254511,0.14804876230191438
