vs,W,p,r,sig
TimeSHAP,77799.5,0.9999964414663652,0.24281991260923846,ns
WinSHAP,46990.0,1.0,0.14666042446941324,ns
LIME-TS,80732.5,3.3197151017493495e-10,0.25197409488139827,***
GS(NoSeg),14364.0,8.495108008541323e-07,0.0448314606741573,***
GS(NoGroup),6017.5,0.9999999999740868,0.018781210986267165,ns
