test,description,n,mean_r,ci_lo,ci_hi,t,p,sig,gs_mean_r,ts_mean_r,ts_ci_lo,ts_ci_hi,W,cliff_d,cliff_label
H7a,GS-SHAP r>0,112,0.4761672256007869,0.44197340032377486,0.49799938730674204,34.373533128423205,2.6711346364378673e-61,*** (p<0.001),,,,,,,
H7b,GS > TimeSHAP,112,,,,,1.0,ns  (p=1.000),0.4761672256007869,0.8367354629538861,0.8100871689162195,0.85783570140861,14.0,-0.951530612244898,large
