method,mean_suff,std_suff,mean_time,std_time,suff_ci95_lo,suff_ci95_hi,time_ci95_lo,time_ci95_hi,product_score,additive_score
GS-SHAP,0.10328273450951884,0.218648019379106,0.2887687667942373,0.04763097493275704,0.08736663359300574,0.11908356017635871,0.2856935121790988,0.2923110380336455,0.029824827875450374,0.39205150130375616
TimeSHAP,0.47424202628433704,0.4416503660971017,0.5869618738547433,0.1460479058516759,0.4423617221594579,0.5015022806634245,0.5775576857814458,0.5977008517038952,0.2783619884085249,1.0612039001390803
WinSHAP,0.4891875851526856,0.4670057696633424,0.29767203216673804,0.07312726039284437,0.4556900239812132,0.5210795077070874,0.29296552984539137,0.3030724437773957,0.14561746258313915,0.7868596173194237
LIME-TS,0.46967350292019544,0.42936380755653913,0.2998529444853193,0.07306469538932953,0.43994312208909336,0.4969633836338784,0.29516729011949644,0.30527284182700387,0.14083298279735482,0.7695264474055148
GS(NoSeg),0.17457067492014494,0.30914910585512656,0.20802739969833056,0.04466500242161703,0.15246211192195724,0.19474099350239443,0.20517620171243955,0.21134958233191223,0.03631548356722032,0.3825980746184755
GS(NoGroup),0.0767735466210343,0.16409326251508413,0.7409334155713441,0.10903972174236153,0.0652334915402864,0.08874631745237993,0.733727250802718,0.7483013373402911,0.05688408612344877,0.8177069621923784
