k,gs_auc,gs_ap,gs_brier,ts_auc,ts_ap,ts_brier,rnd_auc_mean,rnd_auc_std,rnd_ap_mean,rnd_brier_mean,gs_delta_auc,ts_delta_auc,gs_feats
2,0.9819728918174995,0.9757568854270005,0.019068606197834015,0.991532571523897,0.9780741041904725,0.02261321246623993,0.7632308866460922,0.1762293555268427,0.5770783495064412,0.15276480764150618,0.2187420051714073,0.22830168487780478,"['product_price', 'partner_id_enc']"
4,0.9942556093085329,0.9884270807657317,0.01715652272105217,0.9934351488864792,0.979997699279999,0.019079837948083878,0.7358783134539995,0.12591874941617526,0.4845539360821216,0.182720959559083,0.2583772958545334,0.25755683543247976,"['product_price', 'partner_id_enc', 'product_category_1_enc', 'product_gender_enc']"
6,0.9958593293852698,0.9903293216035545,0.015959277749061584,0.9953776378346818,0.989685251003449,0.02007116936147213,0.8092371757444325,0.15108160984202604,0.625740084719209,0.1429814023897052,0.18662215364083723,0.18614046209024926,"['product_price', 'partner_id_enc', 'product_category_1_enc', 'product_gender_enc', 'product_country_enc', 'product_age_group_enc']"
8,0.9955955459170907,0.9901030933770679,0.01978706568479538,0.9952610726499291,0.9892583958071561,0.01763131283223629,0.8755449912419717,0.14501543122066327,0.7546407152356602,0.10179401375353336,0.12005055467511894,0.11971608140795742,"['product_price', 'partner_id_enc', 'product_category_1_enc', 'product_gender_enc', 'product_country_enc', 'product_age_group_enc', 'device_type_enc', 'click_dow']"
