conf_group,n,gs_suff_mean,ts_suff_mean,delta_suff,p_raw,cliff_d,winner,p_holm,sig
Very Low,365,0.042515827572424385,0.9088068027202397,0.8662909751478154,7.161269507668854e-62,0.9996397072621505,GS-SHAP,3.580634753834427e-61,***
Low,32,0.22321413829922676,0.6591713586822152,0.43595722038298845,2.3283064365386963e-10,0.98828125,GS-SHAP,9.313225746154785e-10,***
Medium,16,0.35588403791189194,0.5179232303053141,0.16203919239342213,7.62939453125e-05,0.859375,GS-SHAP,0.0002288818359375,***
High,17,0.5134056929279777,0.30397018965552836,-0.2094355032724493,1.0,-0.9446366782006921,TimeSHAP,1.0,ns
Very High,370,0.12308923441010552,0.03549024229114119,-0.08759899211896433,0.9997904914959624,-0.19441197954711467,TimeSHAP,1.0,ns
